Feature,Occurrences
Service Branches,1
 603K and up,1
Maximum bitrate,1
Personal Geodatabase,1
Scan networking devices (switches  routers  etc ),1
Mental arithmetic,1
Bob Barr (campaign),1
Broad catching (RSS),1
rape,1
WatchKnowLearn,1
Require signed S MIME messages,1
Baldwin would enforce visa rules  and does not support a  path to citizenship  amnesty for aliens currently residing in the US illegally  Employers who knowingly hire illegals would be prosecuted to the fullest extent of the law  Would end  birthright citizenship   and thus end the problem of  anchor babies   No federal monies would be used for any services to illegal aliens ,1
salty,1
Last flight,1
Browser email save images,1
Enumeration,1
XML Events,1
ch,1
SYSTRAN,1
Automatic updates,1
Web seeding,1
Contribution notes,1
breathe,1
FusionCharts,1
MPEG 4 ASP (MPEG 4 Part 2)  i e  DivX  XviD,1
Assembla,1
Integer transform,1
360 Panorama Professional,1
ELF,1
dc,1
Tax Year 2015,1
Tracker,1
Series Nomenclature,1
GIS Capabilities,1
Game Boy Color,1
Streaming Support,1
PhotoFit Harmony   Premium,1
Latest standardised version,1
Desktop interactive widgets,1
Jim Beam,1
Request Tracker,1
PSK RSA,1
Content  Geography  Cookie  Technographic (E g   ISP Provider  Bandwidth  Connection Type  IP Addresses  Browser  Browser Language  Operating System  Language  Domain)  Time Based  Keyword Targeting  Frequency  Re Targeting  Mobile (Mobile Carrier  Device Vendor  Device Type),1
Multiple mobile phones per contact,1
Customize spacing  line paragraph,1
POP before SMTP,1
Structured comparison,1
fc,1
OpenDocument support,1
Weak reference,1
still (yet),1
Starfall com,1
J  j,1
FictionBook,1
Number,1
VPN,1
oLeft   0,1
Maximum width,1
TSR LAN Messenger,1
Implemented,1
Campaigns optimization,1
Autoexpanding text replacements,1
ASEM 51,1
EOR,1
Stepper,1
Function in Mathematica,1
Interchangeable external memory cards,1
Arbitrary sections,1
Opening or swing bridge,1
Driron,1
Nvidia official driver IA 64,1
Can Target ,1
sed liberigu nin de la malbono ,1
Inline styles,1
Max  Write Speed (MB s),1
Mandatory retirement age,1
InterMapper,1
Helicon Filter,1
SSD write optimization (SSD degradation  I O optimization  etc ),1
Marking document changes,1
Google Code Hosting,1
Offline web apps,1
miniSDHC,1
Excess,1
Would dissolve the Department of Energy  Believes in American energy independence by repealing prohibitions on domestic oil drilling  oil refineries  and nuclear plants ,1
if,1
Other formats,1
Civic association,1
Writing system,1
Write once  compile anywhere (WOCA) ,1
MochiKit (abandoned),1
N Track,1
U  u,1
Company owner,1
string find(string  substring)    nil,1
Ons sal lewe  ons sal sterwe ,1
Browser private browsing mode,1
ERP,1
Scheduler,1
Embedded annotation support,1
Epydoc,1
link rel  style     ,1
ADG Panorama Tools   Pro,1
centipede,1
Microvision,1
Production total,1
immigration,1
Pop up,1
ATI r200 free software driver,1
Media player fine scrubbing,1
Routing,1
Atom,1
Extra information,1
Storage size,1
Poses,1
b falo,1
In June 1999  McCain said  The only way to increase the yield on Social Security dollars is by allowing workers to make investment decisions for themselves  by empowering American families to invest  in most robust portfolios  a portion of their earnings for Social Security that they would otherwise pay in taxes to Social Security   In January 2000  he repeated his strong support for creating private Social Security accounts  Partial privatization  or diverting payroll taxes to private accounts  would reduce available funds for current retirees significantly  requiring large debt increases to cover the transition ,1
fun,1
Operator overloading for most operators  Preserving meaning (semantics) is highly recommended ,1
ISLISP,1
different   difference,1
L1 Cache,1
WBMP,1
JPEG (RGB and CMYK) (ISO IEC 10918 1),1
while,1
Unit,1
Universal Report,1
upper(string),1
Graduate education,1
jemput,1
Reporting Engines,1
gRaphael,1
Internal state size,1
UTF 7,1
Full file content compression,1
multiple type document,1
Default script shell in,1
Hostmasking  cloaking,1
Certification,1
Achievements,1
USB 2 0   1 1,1
Browse remote repository,1
jIRCii,1
WEBrick,1
Numbers,1
Multiplayer,1
The Old Reader,1
boot  trunk (of a car),1
gnuLinEx,1
(     ),1
Symbolic computation support,1
Gradation,1
Reports,1
PanoramaStudio 2   Pro,1
Perspective correction lens,1
Dié boek is vir jou,1
DVR recording,1
Phone number links to dialer,1
Baldwin would withdraw the US from the United Nations  perceiving it to be a threat to American sovereignty ,1
Archive site,1
StrReverse(string),1
Censor,1
MessagePack,1
USB On The Go,1
Reverse,1
Test planning integration,1
Samsung P2,1
GTO   GEO,1
Arrays and Collections,1
PTgui   PTgui Pro,1
Special CC,1
WASTE,1
Cut the Knot,1
Composite (Range Hash),1
Graphical configuration,1
Warsaw,1
XBMC Live,1
string toUpperCase(),1
Custom Tag Fields,1
Central bank,1
Adopters,1
rc,1
Rumour,1
singular,1
Purchase identifier,1
Bluetooth,1
Role level permissions,1
string Reverse() ToString(),1
WebStorm,1
FREJ,1
string OP string OR (compare string string) returns Boolean ,1
free of charge,1
Security  MAC labels,1
Display Size,1
Autopano Pro   Giga   Server,1
take n string,1
Connect flood detection,1
Platform requirements,1
RoboMop or RoboMaid,1
email,1
Direct file transfer over Wi Fi Direct,1
hugin,1
SciPy (Python packages),1
single,1
Original author s,1
Positive,1
Target boot time,1
Source control,1
TCP UDP source port(s),1
             co   co  comment   comment,1
Cameroon,1
List price (USD),1
Ethernet MAC destination address,1
UniVerse,1
CentUp,1
Critics,1
military,1
Radicale,1
Borders,1
McCain is against government regulation of network neutrality unless evidence of abuse exists  He is quoted in May 2007 as saying   let's see how this thing all turns out  rather than anticipate a problem that so far has not arisen in any significant way   and   When you control the pipe you should be able to get profit from your investment  ,1
Smurf attack protection,1
Potential energy,1
Puppy Linux,1
usual,1
Oracle Rdb,1
kakak,1
Codename  working name,1
Approximate number of source packages,1
new RegExp (pattern  flags),1
Census,1
SG DiffMerge,1
Windows CE kernel,1
Gigabeat T Series,1
Piggybackr,1
Pixtra PanoStitcher,1
WAR,1
Client sale method,1
xD,1
WAV,1
Non greedy quantifiers,1
CalDAV,1
Downloadable attachments,1
AMD APU,1
Video resolution (maximum),1
VirtualLogix VLX,1
Offline dictionary,1
No vehicles carrying explosives,1
ColdFusion (CFML),1
Outfield fence,1
Boot time  scans,1
L2HAC,1
Income,1
Will Change,1
OpenBase SQL,1
Temporary table,1
GUI resizable panels and modal dialogs,1
Subtitles,1
Compare,1
LimeWire,1
Package manager,1
Amen ,1
Digestate,1
Bulletins to all contacts,1
Rally org,1
Allows explicitly overriding types as well as some implicit narrowing conversions (for compatibility with C) ,1
Customer Routes,1
Noise Level,1
Supported Features (Instruction Set),1
SH  sh,1
Metadata format,1
Desktop Clients,1
Tome Raider,1
Standalone Clients,1
VanCharts,1
Pet care robots,1
Branch Sizes,1
VMS DCL,1
Include past email items (Days),1
File directory passwords,1
FIPS 140 2 validated,1
Copac,1
Panorama Maker 6,1
Eclipse (compare),1
Prolog,1
DNS blacklist,1
Rotate  zoom chart in 3D,1
FES,1
Minimum number of complex characters,1
Chasys Draw IES,1
  ,1
Resource management can be done manually or by automatic lifetime based resource management (RAII) ,1
Xfire,1
Mark VIII,1
Net C,1
Georgia SoftWorks SSH Server,1
Groovy,1
translate,1
Ground pressure,1
Photovista Panorama,1
Patch preview,1
Imagix 4D,1
Range   Sv h,1
Ch  Bandwidth (KHz),1
GeForce 9800 GT,1
Lines and paragraphs,1
Kendo UI,1
Find as you type (Type ahead find),1
Weight   kg ,1
CIFS,1
U S  Army  USAF and USMC,1
HTML  Compliant,1
Internet media type,1
work at OSI Layer 7 (application inspection),1
string     n ,1
User Account Control (UAC)  Included with Windows Vista and later Microsoft Windows operating systems  UAC prompts the user for authorization when an application tries to perform an administrator task ,1
Variable,1
Servoy,1
Self Hosted Server,1
ATLAS,1
Numerical aperture,1
Specific impulse  vac  (s),1
station,1
LOWER(string),1
herb,1
Raster image (JPEG  TIFF  etc ),1
Operating voltage (V),1
OpenLiteSpeed,1
factory,1
load r                       1   r2   r   r                   2   result   r2    3 142         3                                                              storage                result variable  constant  3 142 ,1
Geographic restrictions,1
Supported operating systems,1
Profile selection,1
adjust image (functions),1
Proprietary software,1
Application Ecosystem,1
Traffic queues likely ahead,1
SchilliX,1
Min ISO,1
HashCalc,1
Erlang,1
Zyrion Traverse,1
xcharts,1
daripada,1
virgin,1
Scan virtual server hosts   virtual machines,1
WLM,1
dyne bolic,1
DLNA,1
Cascading and Inheritance,1
Thing,1
sunglasses,1
 begin    cut,1
text xml,1
WMA,1
Group (mathematics),1
Media synchronisation,1
Shared Database,1
Data deduplication,1
Most recent update,1
SharpStitch,1
Data Execution Prevention,1
Latest testing release,1
Bus Speed,1
Ted Weill,1
Contacts sync,1
QU  qu,1
UTF 8 base64,1
FLV,1
Social Security Number required ,1
draggable,1
USB flash drive,1
Tornado,1
Depression (psychological),1
jEdit JDiff plugin,1
Wireless video audio streaming to set top boxes TVs speakers,1
Printing,1
kereta,1
committee,1
Interface CDATASection,1
Bookmark Sync and Sort,1
Zeus Web Server,1
Range (road)  (terrain),1
Reader name with purple background,1
Peripheral Support,1
OPDS catalog,1
LLT(string string)   LLE(string string)   LGT(string string)   LGE(string string),1
union,1
delete directory,1
Early Withdrawal,1
Supported Devices,1
Sansa Fuze,1
khidmat,1
Supported OS (without emulation),1
Group  channel or conference support,1
rename file(s),1
CenterTools DriveLock,1
iPhoto,1
Base index,1
Player cost,1
Browser Reader Mode,1
Scheduling or Service,1
Cleaning system of the building with the robot,1
Human readable ,1
Lexer algorithm,1
ACID,1
Kadu,1
Media Queries,1
CH  ch ,1
FOT,1
Device Wipe Threshold,1
Many to Many,1
icCube,1
Rexx,1
Accuracy (CEP),1
Bootable,1
External,1
Security and Privacy,1
Contribution Limits,1
GDP (Billions of US ),1
Automatic suggestions,1
Boost Xpressive,1
Propagate deletes,1
Application Performance,1
Patch application,1
Set Out of Facility Office (OOF),1
Show in line changes,1
Standard,1
CL PPCRE,1
String sub string 0 n,1
Icon view,1
Ratio between the release due to the bomb and the Chernobyl accident,1
Control point limit,1
Microsoft Office ( doc   xls) support,1
U S  House committee memberships,1
Batch scripts,1
Java EE compatibility,1
Enable password recovery,1
VPC L218FG B,1
High Performance  High Throughput Computing,1
Pluginable,1
Userspace protection,1
The Lord's Prayer in Ido,1
Secondary separator,1
Mozilla Composer,1
Apple,1
RDBMS integration (SQL),1
Dynamic content,1
CloudForge,1
SafeStick SuperSonic,1
Script origin execution restriction,1
Binary ,1
Bucharest,1
Intended purpose,1
Carbon dioxide,1
Javadoc,1
Tabbed windows,1
Parallel job,1
Hard drive self testing,1
Talend ESB,1
easy to view all document labels of same type document,1
FSB,1
OLAPCharts,1
PledgeMusic,1
Debian approval,1
Speed relative to host OS,1
Simics,1
Creative types supported,1
Size in MB,1
Table support,1
Installable Over USBs,1
liabilitity,1
Merging to HDR from LDR images,1
Dynamic Image Processing,1
 string stringByAppendingString string ,1
High court judicial placement method,1
memory efficiency,1
Compatible with C source code  except for a few corner case ,1
FTP,1
American,1
RTSP (RTSPU  RTSPT),1
Transforms,1
File Change Log,1
Pozible,1
Disconnected Access,1
Out of the box shopping cart,1
CanvasJS,1
LAN Sync,1
use simultaneously different application,1
Process (nm),1
WonderSwan Color,1
No through road,1
Most recent version,1
Signal quality coverage area,1
Security Certification,1
XML namespace,1
Diffuse,1
Ottoro S,1
Network encryption,1
Implemented as a retrofit for the java util library having extra features  like data structures like sets and linked sets  and has a number of algorithms to manipulate elements of a collection  like finding the largest element based on some Comparator object  finding the smallest element  finding sublists within a list  reverse the contents of a list  shuffle the contents of a list  create immutable versions of a collection  performs sorts  and make binary searches ,1
org mode,1
WWW,1
FAP (Fortran Assembly Program),1
bus station,1
Mouse layout,1
Interactive legend,1
Essbase,1
Document centric multitasking,1
Target audience,1
DAV   HTTP(S),1
FileVault,1
Version Control browsing,1
firefighter squad,1
Project Dogwaffle,1
Version Policy,1
Custom vibrate alert patterns,1
Network Behavior Analysis,1
ice cream,1
SPFdisk,1
suspend (hang),1
toupper(string),1
ActionScript 3 0,1
Secondary video decoder (PiP),1
No left turn,1
Executable format (also see section below),1
Browser force enable zoom,1
Public,1
Conversion,1
Caesium 137 (TBq),1
HTML generation tools,1
army,1
Archos 605 WiFi   GPS,1
Perfect use failure rate ( ),1
Monkey HTTP Server,1
Babbage,1
piesang,1
Resolution (px),1
Runs on Windows,1
FireWire,1
governor,1
Library,1
ticking over,1
FinMath,1
External hard drive support,1
image svg xml,1
Baldwin believes marriage is between a man and a woman and supports the DOMA ,1
Google Drive,1
Autocorrection,1
SChannel 8 1 2012R2  10 Technical Preview,1
string   string,1
Disable desktop ActiveSync,1
Effective megapixel,1
Document Management,1
tambang,1
school (Islamic),1
lane,1
Notes Form factor,1
Road narrows on both sides,1
Forum Blog,1
Fire extinguisher required,1
automatic,1
Cost estimate,1
Steep ascent,1
Uneven road ahead,1
outfield,1
Windows builders,1
Skiable area (acres),1
substring in string,1
PCMCIA,1
Integrated Search Service (retention       yr),1
walk,1
Comparison of the Game Boy game systems,1
Microsoft Dynamics CRM,1
Geostationary launches,1
NAG Numerical Library,1
file system check and recovery,1
Milagrow SuperBot,1
TurboExpress,1
Anarchy Online,1
1 800 translate,1
Manual compare aligment,1
Display size,1
want,1
Fossil,1
Autocompletion tools,1
string    string,1
MathML,1
Max exec node,1
Can be used in proprietary aps,1
Bitbucket,1
Compatibility,1
NetNewsWire,1
Windows Boot Manager,1
Zoho BugTracker,1
NCSA HTTPd,1
hotkeys,1
ZoomCharts,1
compare(string  string),1
Dhyan Network management System,1
Misc (wrapper based  like interpreters),1
Servlet spec,1
M68k,1
LDAP Support,1
Streaming API input output,1
Book store(s),1
Y M,1
VRstitcher Fisheye Pro,1
religion,1
Czech Republic,1
Server side scripting,1
Simulation ,1
Disable SMS text messaging,1
Ek kan dit nie glo nie,1
Configurable titlebar buttons,1
Grants TM,1
Metering zones,1
CiteSeer,1
Registered user,1
Partial,1
Evernote,1
Markup type,1
rfind(string substring) returns integer,1
eComStation,1
Cytoscape js,1
keyword,1
QuteCom,1
Max FPS,1
Model  Mobility Radeon,1
Colombia,1
Office Integration,1
XBM,1
Refraction,1
Interactivity support,1
Autoduck,1
GAG,1
D  d,1
Wat is jou naam ,1
ROLAP,1
XCF,1
Issue tracking system,1
File type,1
The for statement accepts either arrays or Iterables  All collections implement Iterable  This means that the same short syntax can be used in for loops ,1
MonetDB,1
plural,1
Z  z,1
GBA,1
GBC,1
Stylus,1
Communication and Connectivity,1
Apabi Reader,1
Quality,1
 string substringToIndex n ,1
Maximum disk size per VM guest,1
Oracle VM Server for SPARC (LDoms),1
Adobe Photoshop Lightroom,1
Export data to spreadsheet   XML,1
O  o,1
The Lord of the Rings Online  Shadows of Angmar,1
BackTrack,1
RTL texting,1
Qpopper,1
Kickstarter,1
H 264  MPEG 4 AVC,1
GELI,1
time,1
Resort Name,1
XEP,1
Charles Jay,1
run shell script with new shell,1
Modules,1
Routes by firewall rules and NAT,1
Controller chip,1
Latest supported Java version,1
GLBasic,1
Monthly fee required,1
Interface ElementEditVAL,1
Intro Date,1
string sub(string  1  n)   (string) sub(1  n),1
Electric motor output,1
Reflex ,1
Boot time,1
object member,1
HTML web browser features,1
Is a tracker,1
Source lines of code,1
Ukraine,1
Curve,1
JsDoc Toolkit,1
Background Noise,1
SRP RSA,1
Microsoft Entourage 2008  Web Services Edition,1
PHP's serialize()   unserialize(),1
Plugin system,1
Mod Based On,1
Build tools,1
Video formats,1
API manual,1
PCI Express Mini Card,1
Conservation,1
Initial release year,1
Plastic,1
Combustion chamber pressure (bar),1
Assumption,1
KoolChart,1
Documentation integration generation  reporting,1
Eclipse w  AonixADT,1
Computing platform,1
OVPsim,1
Hard link,1
required main function,1
Changing Institutions,1
Unicode filenames,1
 newspaper  like,1
Suspension,1
The Hague,1
Unify NXJ,1
Supported Features,1
Screencast on device,1
Corporation,1
Xitami,1
Have a GUI,1
player's batting turn,1
YUI (abandoned),1
Upcasting,1
XIP,1
Method of operation,1
LDAP,1
Sensor size,1
Frame size limit,1
SmartClient   SmartGWT,1
Trillian,1
grandfather,1
Hospital,1
RDoc,1
Integrated software,1
Limit on x64,1
Scooba 230,1
Additional technology patent licensing,1
Ido Patro nia  qua esas en la cielo   tua nomo santigesez   tua regno advenez   tua volo facesez  quale en la cielo  tale anke sur la tero   Donez a ni cadie l'omnadiala pano   e pardonez a ni nia ofensi   quale anke ni pardonas a nia ofensanti   e ne duktez ni aden la tento   ma liberigez ni del malajo ,1
Package format,1
GIN,1
IrfanView,1
Thing that is liked,1
WebM,1
Profession,1
Multiple documents in one file,1
WebP,1
USB  eSATA and removable drives,1
Length (mm),1
Lowest ISO,1
VRAM,1
Startup shutdown scripts,1
Accessibility,1
RAM use (MB),1
Unix like,1
Cards  ,1
Interface CSSPageRule,1
Custom UI Mods   Addons,1
USB 2 0   1 1,1
Undo Redo,1
hospital,1
Pure Data,1
Thread safety,1
Built in games,1
VB   VBScript,1
SMTP AUTH,1
One to many routing,1
IDE PATA,1
REST,1
USB 3 0 2 0 1 1,1
string Contains(substring),1
Assembly language (varies),1
ProFTPD,1
KRB5,1
Peripheral icons (e g  desktop  printers),1
FSB HT Frequency (MHz),1
File versioning,1
Floor cleaning vacuuming robots,1
Require device encryption,1
OpenLink  Virtuoso,1
j g,1
Transitions,1
Mobile solution,1
stringstring,1
DxO ISO perfor  mance,1
Supports reference ,1
C   (ISO IEC 14882),1
WAVE chunks,1
Proprietor   Developer,1
DHE PSK (forward secrecy),1
you,1
Purchase Platform,1
OKL4 Microvisor,1
move file(s),1
McCain is a member of The Republican Main Street Partnership and supports embryonic stem cell research despite his earlier opposition  He states that he believes that stem cell research  and indeed embryonic stem cell research  will continue whether or not the U S  sanctions it  and so it would be the wisest course of action to support it to the extent that the United States will be able to regulate and monitor the use ,1
OpenNMS,1
Sidebands ,1
Avaya VPFM,1
court,1
Apache,1
Unlimited number of contacts,1
Directory history  stack or similar features,1
7 0,1
GPL (v3) compatibility,1
Kaspersky Lab,1
std string join(array_of_strings  separator),1
Content license,1
Publication date,1
Integrated environment,1
ALGLIB,1
Backward forward,1
assembly,1
Resistor,1
Permitted alcohol level ( ),1
XQD,1
Members of the McCain camp have pointed out that George Bush signed a federal directive in 2001 that outlawed racial profiling and ordered the Attorney General to look into the matter ,1
Mach O,1
Fotografix,1
PROMT,1
Link Ports,1
Monday,1
sometimes,1
Infor BI OLAP Server,1
3D Support at container level,1
Intelligent error handling,1
Projected Federal income tax changes in 2009 assuming all tax proposals were adopted by congress and the budget remains the same   Yellow is for the projected tax change most favorable to people in that income bracket ,1
Classical Latin (spelling),1
Logging,1
2D Bar Coded,1
darktable,1
 66K  112K,1
belt(of a seat),1
Changing default policy to accept reject (by issuing a single rule),1
MXML,1
GPU accelerated GUI,1
Desktop Environment,1
Panels pad,1
Number of Cores,1
Source availability,1
Encrypts,1
softraid   RAID C,1
WinDev,1
PlayStation Portable,1
HideOS   SotN,1
Inductor,1
Pulldown claws,1
Escalator,1
Interface CSSStyleRule,1
FTPS (FTP over SSL),1
 cs    ce,1
Weight  g,1
Rockbox,1
FDPIC ELF binaries (mmu less),1
Teradata,1
WebSocket,1
Sync to Cloud,1
Cairo,1
Audio battery life (hr),1
VMware ESXi,1
Intellisense  Autocompletion (using schema xsd for text),1
Photoshop,1
Text Decoration,1
Game Pocket Computer,1
Architecture support,1
Reflection cannot be used to construct new generic realizations  During compilation extra code (typecasts) are injected into the client code of generics  This precludes creating new realizations later ,1
WYSIWYG Editor,1
Access,1
Juice,1
Reviews and Comments,1
Solaris IOCP,1
Institution,1
java util regex,1
YouTrack,1
Ability to define custom color for each bar (chart item),1
Feedreader,1
Interface DOMImplementationCSS,1
AV  (Anti Virus),1
Recursion ACL,1
Binaural beats,1
Anonymous P2P,1
Collapsible sections,1
Governor (state),1
SPARC32,1
Taiwan,1
XScale,1
Courier (formerly Calypso),1
Speed (road)  (terrain),1
                      ,1
Transmission,1
Mega Duck Cougar Boy,1
Development started,1
Notepad   (compare),1
Batteries,1
Board of directors,1
Synopsys (CoWare) Virtual Platform,1
Terminal emulator,1
eight,1
Vorbis comment,1
malfunction,1
Feature detection,1
Application store,1
Hy het op die lughawe aangekom,1
XInclude,1
Safe driving mode,1
SChannel 7 2008R2  8 2012,1
Fukushima Daiichi   Css Image Crop,1
Henry Spencer's Advanced Regular Expressions,1
IDLdoc,1
ConceptDraw PRO,1
getElementsByClassName,1
flat binaries (superH),1
Deluge,1
Encrypted file systems,1
JavaForge,1
tire (U S ) tyre (UK),1
MATLAB   GNU Octave,1
duty (economics),1
License and version,1
Binary message support,1
OS compatibility,1
Workspace level permissions,1
Maximum Prefix Length,1
international,1
unZip or unRAR,1
Search engine,1
difficult,1
Unified Inbox,1
Sound and Voice,1
catching the ball in flight,1
Priority road,1
Motion vector,1
IP to Country,1
Interface DocumentType,1
Packaging,1
curtain,1
Thomas Stevens,1
Sega Nomad,1
Two way traffic ahead,1
Records keyboard,1
Twin panel,1
Protocol Obfuscation,1
WinMerge,1
Drag and drop,1
Waar die kranse antwoord gee ,1
Release Year,1
Last metadata change timestamps,1
Google Talk,1
pelan,1
WikidPad,1
string (string'First    string'First   n   1),1
MCabber,1
Call log duration,1
Maximum filename length,1
Bourne shell,1
TeX  LaTeX  PostScript  Erlang  and S Lang,1
string lowercaseString,1
John McCain voted for the Family and Medical Leave Act of 1993 which granted workers the right to take 12 weeks of unpaid leave for family medical reasons without being penalized by their employer   McCain sponsored the Family Friendly Workplace Act which sought to allow employers to provide more flexible work schedules to help balance work and family ,1
Multi column Layout,1
Notification center,1
Partition sizes,1
Syslog,1
Fuel,1
eReader,1
Brute force protection,1
Cancel remote wipe (server side),1
Het jy dit ges  ,1
Ulead PhotoImpact,1
4OS2,1
IDPF EPUB,1
indef ,1
Bitvise SSH Server (formerly WinSSHD),1
Kaj pardonu al ni niajn  uldojn ,1
Integrated LVM,1
Tow rope required,1
No U turn,1
Stage,1
Maximum amount of memory per VM guest,1
Shell integration,1
Public file hosting,1
BeOS  Haiku,1
TwinText,1
Find in Files,1
Is jy honger ,1
Chernobyl   Css Image Crop,1
string asUppercase,1
No overtaking by heavy goods vehicles,1
Words    Passes    Rounds,1
Usersnap,1
Misc  notes,1
Wild animals,1
CompareStr(string  string),1
Workflow system,1
Supportworks,1
fact,1
 oeb,1
Smog forming emissions compared to average new vehicle,1
ASMB  ASBL  NSBL   Numeric op codes   used for 1900 Operating System Executive,1
Firmware options,1
SIMH,1
Shared libraries,1
proxychains,1
Non native APIs supported through subsystems,1
PopNote,1
GeForce 9400 GT,1
Armed Forces experience,1
Word context,1
Move apps to external storage,1
Indent  syntax,1
C   (STL),1
Road bump,1
afraid,1
Frequency,1
ECDHE PSK (forward secrecy),1
Native network encryption,1
Patro Nia  kiu estas en la  ielo ,1
do while,1
Color depth (bpp),1
ALFTP,1
string  n ,1
papaya,1
TeeChart for Javascript,1
Tabula Rasa,1
webOS,1
Browser extensions,1
ice,1
No heavy goods vehicles,1
Add update from network configuration files,1
Referential integrity,1
Jingle,1
Blacklist operator,1
VT100,1
string toCharArray toList reversed join(),1
Federation,1
IndentGuides,1
awkward,1
 NET,1
Require manual sync while roaming,1
Encryption level,1
String concat separator list_of_strings,1
MyInfo,1
Homeowner association,1
Stack,1
Suggestions,1
Karcher RC3000 Siemens sensor cruiser,1
Latin,1
Related paradigm(s),1
Avant,1
Balancing groups,1
Bus stop,1
Relay,1
Day One,1
MetaSymbol,1
Transportation,1
DataTraveler 5000,1
ScimoreDB,1
microSD,1
Play While Downloading,1
Bit editing,1
Remote wipe confirmation,1
Violet (color),1
headscarf  hijab,1
Though John McCain plans to expand foreign aid  specifically targeting malaria in Africa  he has expressed concern that too much American aid money is embezzled or outright stolen by corrupt foreign governments ,1
Aldor,1
Alternation (Brace expansion),1
Direct Push,1
(apply str (take n string)),1
DxOMark sensor score,1
LEFT (string n),1
Interface LSInput,1
Push notifications,1
Fennel,1
DNSSEC,1
Sortable,1
comment,1
Contribute,1
File contents,1
Nginx,1
Third party add ons,1
Programming,1
Image maps,1
MAP (Macro Assembly Program),1
Dojo,1
HFS,1
iBook,1
JSDoc,1
IBM PCjr,1
VPU (Video Decoding Unit),1
Supported format(s),1
bObsweep,1
No overtaking,1
Zoho,1
emperor,1
Dermandar,1
breakfast,1
compare(string string count),1
Operator  levels ,1
Maximum seating,1
Empathy,1
File expiration,1
Scan telecommunications devices,1
Filename  extension,1
Criminal,1
Deduction Limits,1
LAN Chat Enterprise,1
trace network route with pings,1
AEAD,1
First flight,1
IBM PC,1
QEMU w  qvm86 module,1
jGrouseDoc,1
Manufac ,1
Game Gear,1
Concise Binary Object Representation (CBOR),1
There is no class literal for a concrete realization of a generic type,1
Cores,1
Rover (mission  organization  year),1
Can keep RTC in UT,1
64 bit (long integer),1
Device independent system updates,1
Teamwork,1
SITX,1
Max table size,1
Default login shell in,1
Kaypro,1
Last access  read timestamps,1
EiffelStudio,1
Validation of simple new document,1
Pagination,1
string to floating point,1
frog,1
(comment   ),1
Expression of extensibility rules,1
Reference queue (interaction with garbage collection),1
Line Layout,1
(reverse string),1
SilverSHielD,1
GUI page layout,1
ill,1
Xara Photo   Graphic Designer,1
First Release,1
Safe data subset,1
lighttpd,1
British Army and Royal Marines,1
Microsoft Hyper V Server 2008 R2,1
pohon,1
Day Night mode,1
Disk sector editing,1
Venu via regno ,1
Extent,1
string  string,1
TestTrack,1
Knowledge Tags,1
(string take string n),1
Kernel programming language,1
Oceania,1
Path completion,1
VMware Fusion,1
Read write cycles,1
zoo,1
 (255  0  0)  256 ,1
Multi user support,1
Physical Size (inches),1
Secondary,1
IEC 62448,1
Zone,1
ink,1
Gwoyeu Romatzyh,1
Compositing and Blending,1
pembangkang,1
Size  mm,1
DataTraveler Vault   Privacy Edition,1
carrot,1
AngularJS,1
Forms,1
Find text in buffer,1
strtolower(string),1
bicycle,1
new Function(  p1    p2            body ),1
String,1
spouse,1
Interface LSLoadEvent,1
Mile,1
Search multiple internal applications at once,1
echo  string   tr 'A Z' 'a z',1
Cost US  (Millions),1
graduate,1
Windows 7  Vista,1
Depth (mm),1
DHT search,1
Zope,1
3 way comparison,1
AmigaOS 4  MorphOS (PPC),1
getah,1
TPM support,1
KTorrent,1
airport,1
Highest ISO,1
Nagios,1
QTVR,1
Flexible Box Layout,1
Cosmigo Pro Motion,1
change process priority,1
Fork from,1
Accounting,1
Multi page,1
manual,1
Microsoft Office Open XML support,1
zsh,1
Axiis,1
retire,1
Bazaar,1
Typical estimation method,1
Offline support,1
epoll,1
Captions (Subtitles),1
Nintendo DS Slot 1,1
Nintendo DS Slot 2,1
GB 18030 base64,1
current object's parent object,1
Preload Magnet metadata,1
Microsoft Outlook,1
Binn,1
Brush Strokes Image Editor,1
SUSE Linux,1
Samba,1
Partial or full (spherical) panoramas or images from panoramic camera,1
Horizontal rules,1
HRM,1
Founded,1
Triangle required,1
butoh butuh,1
Panel tabs,1
Viewfinder,1
T  t,1
Founder,1
 counter style,1
tolower(char),1
Argus,1
SRP DSS,1
Rectilinear lenses (i e  normal camera lenses),1
Prediction,1
HSV,1
Medieval Spanish and Portuguese,1
Supports non monogamous connections,1
I  i,1
GeForce 9300 GE (G98),1
VMware ESX Server 3 0 atp,1
pharmacy,1
hesitate,1
Schedule estimate,1
Change tracking,1
Bound check,1
Roomba 1st Gen ,1
Peoplefund it,1
Playback while charging,1
Toggle syntax highlight on off,1
JenScript,1
XML Fragment Interchange,1
Usage examples (approx ),1
Comic Book,1
Panorama Perfect,1
Harvard,1
undo,1
democratic,1
Weight increasing,1
Transcoding,1
Binary comparison,1
BitLocker Drive Encryption,1
Extended attribute  Alternate data streams  forks,1
Tonemapping,1
Range   R h,1
Pattwo,1
Real Video,1
ALeech,1
college,1
Class  Home   Professional,1
Users,1
number,1
Isochronic tones,1
rickshaw,1
Hierdie vrug smaak sleg,1
dismissing a batsman batter,1
PANOSE font specifications,1
Variant,1
Ons hou daarvan om te braai,1
