Matrice;featConformRatio
Comparison_of_iOS_e book_reader_software    License ;100
Comparison_of_iOS_e book_reader_software    Special features ;100
Comparison_of_iPod_managers    General ;88
Comparison_of_iPod_managers   Media organization and transfer features;100
Comparison_of_iPod_managers   iPod syncing and maintenance features;100
Comparison_of_iPod_managers   iPhone   iPod Touch compatibility;100
Comparison_of_IPv6_application_support   Applications;57
Comparison_of_IPv6_support_by_major_transit_providers;100
Comparison_of_IPv6_support_in_operating_systems;85
Comparison_of_IPv6_support_in_routers    Comparison table ;83
Comparison_of_IPv6_support_in_routers   Third party firmwares with IPv6 support;80
Comparison_of_iSCSI_targets   Comparison chart;83
Comparison_of_issue tracking_systems    General ;100
Comparison_of_issue tracking_systems    Features ;75
Comparison_of_issue tracking_systems    Input interfaces ;100
Comparison_of_issue tracking_systems    Notification interfaces ;100
Comparison_of_issue tracking_systems    Revision control system integration ;100
Comparison_of_issue tracking_systems    Authentication methods ;95
Comparison_of_JavaScript based_source_code_editors   Overview;88
Comparison_of_JavaScript based_source_code_editors   List of features;84
Comparison_of_JavaScript_charting_frameworks;92
Comparison_of_JavaScript_frameworks    General information ;89
Comparison_of_JavaScript_frameworks    Features ;66
Comparison_of_JavaScript_frameworks    Browser support ;100
Comparison_of_Java_and_C      Design aims ;0
Comparison_of_Java_and_C      Syntax ;0
Comparison_of_Java_and_C      Syntax ;0
Comparison_of_Java_and_C      Runtime ;50
Comparison_of_Java_and_C      Performance ;33
Comparison_of_Java_Remote_Desktop_projects    Comparison chart ;100
Comparison_of_Java_virtual_machines;100
Comparison_of_Java_virtual_machines   Technical information;100
Comparison_of_Java_virtual_machines   Supported CPU architectures;90
Comparison_of_Java_virtual_machines   Supported operating systems;90
Comparison_of_karate_styles   Comparison;71
Comparison_of_LAN_messengers   General information;100
Comparison_of_LAN_messengers   Operating system support;100
Comparison_of_LAN_messengers   Features;96
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Grammar and rules;55
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Selectors;100
Comparison_of_layout_engines_(Cascading_Style_Sheets)    Properties ;97
Comparison_of_layout_engines_(Cascading_Style_Sheets)    Descriptors ;0
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Values and units;100
Comparison_of_layout_engines_(Document_Object_Model)   General overview;100
Comparison_of_layout_engines_(Document_Object_Model)   Core (Fundamental);100
Comparison_of_layout_engines_(Document_Object_Model)   Range;100
Comparison_of_layout_engines_(Document_Object_Model)   Load and Save;100
Comparison_of_layout_engines_(Document_Object_Model)   Validation;100
Comparison_of_layout_engines_(Document_Object_Model)   Core (Extended);100
Comparison_of_layout_engines_(Document_Object_Model)   HTML;100
Comparison_of_layout_engines_(Document_Object_Model)   Style (Style Sheets);100
Comparison_of_layout_engines_(Document_Object_Model)   Style (CSS Fundamental);100
Comparison_of_layout_engines_(Document_Object_Model)   Style (CSS Extended);100
Comparison_of_layout_engines_(Document_Object_Model)   Events;100
Comparison_of_layout_engines_(Document_Object_Model)   Views;100
Comparison_of_layout_engines_(Document_Object_Model)   Traversal;100
Comparison_of_layout_engines_(ECMAScript)   ECMAScript version support;100
Comparison_of_layout_engines_(ECMAScript)   Global object;100
Comparison_of_layout_engines_(ECMAScript)   RegExp object;100
Comparison_of_layout_engines_(ECMAScript)   Error object;100
Comparison_of_layout_engines_(ECMAScript)   NativeError objects;100
Comparison_of_layout_engines_(ECMAScript)   Object object;86
Comparison_of_layout_engines_(ECMAScript)   Function object;81
Comparison_of_layout_engines_(ECMAScript)   Array object;100
Comparison_of_layout_engines_(ECMAScript)   String object;100
Comparison_of_layout_engines_(ECMAScript)   Boolean object;81
Comparison_of_layout_engines_(ECMAScript)   Number object;100
Comparison_of_layout_engines_(ECMAScript)   Math object;100
Comparison_of_layout_engines_(ECMAScript)   Date object;100
Comparison_of_layout_engines_(graphics)   Image format support;86
Comparison_of_layout_engines_(graphics)   JPEG support;100
Comparison_of_layout_engines_(graphics)   GIF support;100
Comparison_of_layout_engines_(graphics)   PNG support;100
Comparison_of_layout_engines_(HTML)    Global structure elements ;100
Comparison_of_layout_engines_(HTML)    Text elements ;100
Comparison_of_layout_engines_(HTML)   Script elements;33
Comparison_of_layout_engines_(HTML)   Language elements;100
Comparison_of_layout_engines_(HTML)   Generic attributes;100
Comparison_of_layout_engines_(HTML)    List elements ;100
Comparison_of_layout_engines_(HTML)    Table elements ;100
Comparison_of_layout_engines_(HTML)    Link elements ;100
Comparison_of_layout_engines_(HTML)    Multimedia elements ;100
Comparison_of_layout_engines_(HTML)   Frame elements;100
Comparison_of_layout_engines_(HTML)   Form elements;100
Comparison_of_layout_engines_(HTML)   Presentational elements;100
Comparison_of_layout_engines_(HTML)   Stylesheet elements;66
Comparison_of_layout_engines_(HTML5)   Elements;100
Comparison_of_layout_engines_(HTML5)    Element specific ;100
Comparison_of_layout_engines_(HTML5)   Global;90
Comparison_of_layout_engines_(HTML5)   Form elements and attributes;100
Comparison_of_layout_engines_(HTML5)   APIs;75
Comparison_of_layout_engines_(HTML5)   Other features;100
Comparison_of_layout_engines_(HTML5)   Next generation additions;100
Comparison_of_layout_engines_(HTML5)   Related specifications;100
Comparison_of_layout_engines_(HTML5_canvas)   Canvas functions;100
Comparison_of_layout_engines_(HTML5_canvas)   Supported contexts;100
Comparison_of_layout_engines_(HTML5_canvas)   Canvas Rendering Context 2D;100
Comparison_of_layout_engines_(HTML5_media)   Element attributes;100
Comparison_of_layout_engines_(HTML5_media)   DOM attributes;100
Comparison_of_layout_engines_(HTML5_media)   DOM events;100
Comparison_of_layout_engines_(HTML5_media)   Video format support;100
Comparison_of_layout_engines_(HTML5_media)   Audio format support;100
Comparison_of_layout_engines_(MathML)   Media type;50
Comparison_of_layout_engines_(MathML)   Elements;100
Comparison_of_layout_engines_(MathML)   Global;100
Comparison_of_layout_engines_(MathML)   Element specific;100
Comparison_of_layout_engines_(MathML)   APIs;100
Comparison_of_layout_engines_(non standard_HTML)   Deprecated HTML elements;100
Comparison_of_layout_engines_(non standard_HTML)   Deprecated HTML attributes;100
Comparison_of_layout_engines_(non standard_HTML)   Proprietary HTML elements;100
Comparison_of_layout_engines_(non standard_HTML)   Proprietary HTML attributes;100
Comparison_of_layout_engines_(Scalable_Vector_Graphics)   SVG version support;100
Comparison_of_layout_engines_(Scalable_Vector_Graphics)   Embedding;100
Comparison_of_layout_engines_(Scalable_Vector_Graphics)   SVG 1 1 support;100
Comparison_of_layout_engines_(web_typography)   Support for CSS font resources;100
Comparison_of_layout_engines_(web_typography)   Support in HTML and XML documents;100
Comparison_of_layout_engines_(web_typography)   Support in SVG documents;100
Comparison_of_layout_engines_(web_typography)   Smart font features support;100
Comparison_of_layout_engines_(XHTML)   Media types;10
Comparison_of_layout_engines_(XHTML)   Combined profiles;100
Comparison_of_layout_engines_(XHTML_1 1)    Structure Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Text Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Client side Image Map Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Object Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Metainformation Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Scripting Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Style Sheet Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Link Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Base Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Ruby Annotation Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Core ;100
Comparison_of_layout_engines_(XHTML_1 1)    I18N ;66
Comparison_of_layout_engines_(XHTML_1 1)    Hypertext Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Events ;100
Comparison_of_layout_engines_(XHTML_1 1)    Server side Image Map Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Intrinsic Events Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    List Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Presentation Module ;66
Comparison_of_layout_engines_(XHTML_1 1)    Edit Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Bi directional Text Module ;50
Comparison_of_layout_engines_(XHTML_1 1)    Forms Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Table Module ;60
Comparison_of_layout_engines_(XHTML_1 1)    Image Module ;50
Comparison_of_layout_engines_(XML)   Core technologies;85
Comparison_of_layout_engines_(XML)   XSL technologies;100
Comparison_of_layout_engines_(XML)   Linking technologies;100
Comparison_of_layout_engines_(XML)   Query technologies;50
Comparison_of_layout_engines_(XML)    Schema technologies ;100
Comparison_of_layout_engines_(XML)   Security technologies;100
Comparison_of_Lemmings_ports   General information;100
Comparison_of_Lemmings_ports   Feature comparison;75
Comparison_of_linear_algebra_libraries    General information ;100
Comparison_of_linear_algebra_libraries    Matrix types and operations ;92
Comparison_of_Linux_distributions    General ;100
Comparison_of_Linux_distributions   Technical;84
Comparison_of_Linux_distributions   Instruction set architecture support;83
Comparison_of_Linux_distributions   Package management and installation;88
Comparison_of_Linux_distributions   Live media;85
Comparison_of_Linux_distributions   Security features;75
Comparison_of_machine_translation_applications   General information;100
Comparison_of_machine_translation_applications   Languages features comparison;93
Comparison_of_Macintosh_models   Desktops;100
Comparison_of_Macintosh_models   Input Output;76
Comparison_of_Macintosh_models   Physical specifications;100
Comparison_of_Macintosh_models   Expansion;83
Comparison_of_Macintosh_models   History;100
Comparison_of_macro_recorder_software;61
Comparison_of_mail_servers    Feature comparison ;97
Comparison_of_mail_servers    Authentication ;100
Comparison_of_mail_servers    Antispam features ;100
Comparison_of_Malaysian_and_Indonesian    Vocabulary comparison ;97
Comparison_of_Malaysian_and_Indonesian    False friends ;96
Comparison_of_Malaysian_and_Indonesian   Table of comparison;98
Comparison_of_massively_multiplayer_online_role playing_games   General information;100
Comparison_of_massively_multiplayer_online_role playing_games   Statistics table;50
Comparison_of_massively_multiplayer_online_role playing_games   Engine table;66
Comparison_of_massively_multiplayer_online_role playing_games   Minimal system requirements;83
Comparison_of_massively_multiplayer_online_role playing_games   Feature Set;86
Comparison_of_MD_and_DO_in_the_United_States   Licensure;100
Comparison_of_memory_cards    Common information ;100
Comparison_of_memory_cards   Physical details;83
Comparison_of_memory_cards    Technical details ;41
Comparison_of_memory_cards    Consumer details ;100
Comparison_of_memory_cards    Compatibility ;87
Comparison_of_metadata_editors    Features ;60
Comparison_of_microblogging_services    General information ;87
Comparison_of_microblogging_services    Features ;66
Comparison_of_microblogging_services    Posting and reading ;85
Comparison_of_Microsoft_Windows_versions     Anchor GI DOS  DOS shells;100
Comparison_of_Microsoft_Windows_versions     Anchor GI 9x  Windows 9x;91
Comparison_of_Microsoft_Windows_versions     Anchor FS 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions     Anchor FS NT  Windows NT;100
Comparison_of_Microsoft_Windows_versions     Anchor FS Phone  Windows Phone;100
Comparison_of_Microsoft_Windows_versions     Anchor HR 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions     Anchor HR NT  Windows NT;100
Comparison_of_Microsoft_Windows_versions     Anchor HR Phone  Windows Phone;100
Comparison_of_Microsoft_Windows_versions     Anchor memlim NT  Windows NT;66
Comparison_of_Microsoft_Windows_versions   Security features;100
Comparison_of_Microsoft_Windows_versions   Features;85
Comparison_of_Microsoft_Windows_versions     Anchor GI NT  Windows NT;100
Comparison_of_Microsoft_Windows_versions     anchor GI CE  Windows Embedded Compact;100
Comparison_of_Microsoft_Windows_versions     Anchor GI Mobile  Windows Mobile;100
Comparison_of_Microsoft_Windows_versions     Anchor GI Phone  Windows Phone;100
Comparison_of_Microsoft_Windows_versions     anchor TI DOS  DOS shells;100
Comparison_of_Microsoft_Windows_versions     Anchor TI 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions      Anchor TI NT  Windows NT ;100
Comparison_of_Microsoft_Windows_versions     Anchor TI Phone  Windows Phone;100
Comparison_of_MIDI_standards;100
Comparison_of_mobile_Internet_Relay_Chat_clients   General;100
Comparison_of_mobile_Internet_Relay_Chat_clients   Release history;100
Comparison_of_mobile_Internet_Relay_Chat_clients   Protocol support;95
Comparison_of_mobile_Internet_Relay_Chat_clients   Direct client to client (DCC) support;95
Comparison_of_mobile_Internet_Relay_Chat_clients   Features;95
Comparison_of_mobile_operating_systems    About OS ;85
Comparison_of_mobile_operating_systems    About OS ;93
Comparison_of_mobile_operating_systems    Peripheral Support ;100
Comparison_of_mobile_operating_systems    Photo and Video ;100
Comparison_of_mobile_operating_systems    Productivity ;88
Comparison_of_mobile_operating_systems    Ringtones and Alerts ;80
Comparison_of_mobile_operating_systems    Security and Privacy ;100
Comparison_of_mobile_operating_systems    Sound and Voice ;100
Comparison_of_mobile_operating_systems    Other Features ;77
Comparison_of_mobile_operating_systems    Advanced Controls ;100
Comparison_of_mobile_operating_systems    Application Ecosystem ;87
Comparison_of_mobile_operating_systems    Basic Features ;86
Comparison_of_mobile_operating_systems    Browser ;83
Comparison_of_mobile_operating_systems    Communication and Connectivity ;81
Comparison_of_mobile_operating_systems    Language and Inputs ;81
Comparison_of_mobile_operating_systems    Maps and Navigation ;83
Comparison_of_mobile_operating_systems    Media Playback and Controls ;83
Comparison_of_mobile_phone_standards    Comparison table ;83
Comparison_of_movie_cameras   General;85
Comparison_of_movie_cameras   Lens and gate aperture;75
Comparison_of_movie_cameras   Shutter;83
Comparison_of_movie_cameras   Movement;88
Comparison_of_movie_cameras   Viewfinder;100
Comparison_of_movie_cameras   General;85
Comparison_of_MUD_clients    Operating systems ;86
Comparison_of_MUD_clients    Protocol support ;100
Comparison_of_MUD_clients    Scripting support ;86
Comparison_of_MySQL_database_engines;100
Comparison_of_national_standards_of_Chinese   Written standards;100
Comparison_of_national_standards_of_Chinese   Vocabulary differences;83
Comparison_of_net connected_media_players;89
Comparison_of_netbook oriented_Linux_distributions   Features;93
Comparison_of_netbook oriented_Linux_distributions   Specific features;75
Comparison_of_netbooks   Specifications;59
Comparison_of_netbooks   Specifications;69
Comparison_of_network_diagram_software    List of Network Mapping Software ;100
Comparison_of_network_diagram_software    List of Drawing Tools  ;100
Comparison_of_network_diagram_software    Network Mapping Features  ;43
Comparison_of_network_diagram_software    Drawing Features ;83
Comparison_of_network_monitoring_systems    Features ;95
Comparison_of_network_monitoring_systems    Release history ;96
Comparison_of_neurofeedback_software   General;100
Comparison_of_Nikon_DSLR_cameras;95
Comparison_of_Nintendo_portable_consoles   Comparison;96
Comparison_of_Nintendo_portable_consoles    Comparison ;96
Comparison_of_Nintendo_portable_consoles   Software compatibility;87
Comparison_of_NMDC_Software    General ;100
Comparison_of_NMDC_Software    Operating system support ;100
Comparison_of_NMDC_Software    General ;100
Comparison_of_NMDC_Software    General ;100
Comparison_of_NMDC_Software    Operating system support ;100
Comparison_of_NMDC_Software    Interface and programming ;100
Comparison_of_North_American_ski_resorts;75
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Writing system ;80
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Vowels ;100
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Consonants ;100
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Vocabulary ;91
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    False friends ;100
Comparison_of_notetaking_software   General information;100
Comparison_of_notetaking_software   Basic features;84
Comparison_of_notetaking_software   Advanced formatting and content;94
Comparison_of_numerical_analysis_software    General ;100
Comparison_of_numerical_analysis_software    Operating system support ;100
Comparison_of_numerical_analysis_software    Language features ;66
Comparison_of_numerical_analysis_software    Language features ;88
Comparison_of_numerical_analysis_software    General ;100
Comparison_of_numerical_analysis_software    Operating system support ;100
Comparison_of_Nvidia_chipsets    nForce ;72
Comparison_of_Nvidia_chipsets    nForce Southbridges ;83
Comparison_of_Nvidia_chipsets    For AMD processors ;81
Comparison_of_Nvidia_chipsets    For Intel processors ;82
Comparison_of_Nvidia_chipsets    For AMD processors ;81
Comparison_of_Nvidia_chipsets    For Intel processors ;82
Comparison_of_Nvidia_chipsets    For AMD processors ;81
Comparison_of_Nvidia_chipsets    For Intel processors ;82
Comparison_of_Nvidia_chipsets     ;81
Comparison_of_Nvidia_chipsets    nForce Professional ;82
Comparison_of_Nvidia_chipsets    For AMD processors ;82
Comparison_of_Nvidia_chipsets    For Intel processors ;82
Comparison_of_Nvidia_chipsets    nForce2 ;72
Comparison_of_Nvidia_chipsets    nForce2 Southbridges ;83
Comparison_of_Nvidia_chipsets     ;86
Comparison_of_Nvidia_chipsets    For AMD processors ;81
Comparison_of_Nvidia_chipsets    For Intel processors ;82
Comparison_of_Nvidia_chipsets     () ;81
Comparison_of_Nvidia_chipsets    For AMD processors ;81
Comparison_of_Nvidia_chipsets    For Intel processors ;82
Comparison_of_object relational_database_management_systems    Basic data ;100
Comparison_of_object relational_database_management_systems   Object features;100
Comparison_of_object relational_database_management_systems   Data types;100
Comparison_of_object relational_mapping_software;100
Comparison_of_object_database_management_systems;100
Comparison_of_Office_Open_XML_and_OpenDocument   Comparison;90
Comparison_of_Office_Open_XML_software   Word processors;77
Comparison_of_Office_Open_XML_software   Spreadsheet documents;77
Comparison_of_Office_Open_XML_software   Presentation documents;77
Comparison_of_office_suites    General information ;91
Comparison_of_office_suites    Operating system support ;96
Comparison_of_office_suites    Main components ;96
Comparison_of_office_suites    Online capabilities ;96
Comparison_of_OLAP_Servers   General information;100
Comparison_of_OLAP_Servers   Data storage modes;100
Comparison_of_OLAP_Servers   APIs and query languages;100
Comparison_of_OLAP_Servers   OLAP distinctive features;50
Comparison_of_OLAP_Servers   System limits;100
Comparison_of_OLAP_Servers   Security;80
Comparison_of_OLAP_Servers   Operating systems;80
Comparison_of_OLAP_Servers   Support information;80
Comparison_of_online_backup_services   Comparison;86
Comparison_of_online_charity_donation_services_in_the_United_Kingdom;83
Comparison_of_online_charity_donation_services_in_the_United_Kingdom;100
Comparison_of_online_dating_websites   Online Dating Services;70
Comparison_of_online_music_lockers    Comparison ;5
Comparison_of_online_music_stores;86
Comparison_of_open source_configuration_management_software   Basic properties;90
Comparison_of_open source_configuration_management_software   Platform support;77
Comparison_of_open source_operating_systems    General information ;87
Comparison_of_open source_operating_systems    Supported architectures ;78
Comparison_of_open source_operating_systems    General ;68
Comparison_of_open source_operating_systems    Networking ;96
Comparison_of_open source_operating_systems    Network technologies ;96
Comparison_of_open source_operating_systems    Supported file systems ;96
Comparison_of_open source_operating_systems    Supported file system features ;96
Comparison_of_open source_operating_systems    Security features ;85
Comparison_of_open source_software_hosting_facilities   General information;63
Comparison_of_open source_software_hosting_facilities   Features;81
Comparison_of_open source_software_hosting_facilities   Available version control systems;100
Comparison_of_open source_software_hosting_facilities   Popularity;80
Comparison_of_open source_software_hosting_facilities   Specialized hosting facilities;85
Comparison_of_open source_wireless_drivers   Status;85
Comparison_of_open source_wireless_drivers    Driver capabilities ;71
Comparison_of_open source_wireless_drivers   DragonFly BSD;71
Comparison_of_open source_wireless_drivers   FreeBSD;71
Comparison_of_open source_wireless_drivers   NetBSD;87
Comparison_of_open source_wireless_drivers   OpenBSD;87
Comparison_of_open source_wireless_drivers   Solaris and OpenSolaris;100
Comparison_of_open source_wireless_drivers   Darwin  OpenDarwin and Mac OS X;100
Comparison_of_open source_wireless_drivers   FreeBSD;77
Comparison_of_open source_wireless_drivers   OpenBSD;77
Comparison_of_OpenDocument_software   Word processors;88
Comparison_of_OpenDocument_software   Spreadsheet documents;88
Comparison_of_OpenDocument_software   Presentation documents;87
Comparison_of_OpenDocument_software   Conversion   Publishing systems;87
Comparison_of_OpenDocument_software   OpenDocument Format version in exported files;71
Comparison_of_OpenGL_and_Direct3D    Availability ;100
Comparison_of_OpenXPS_and_PDF   Comparison;90
Comparison_of_operating_systems    General information ;100
Comparison_of_operating_systems    Technical information ;90
Comparison_of_operating_systems    Security ;37
Comparison_of_operating_systems    Commands ;100
Comparison_of_operating_system_kernels    Feature overview ;66
Comparison_of_operating_system_kernels    Transport protocol support ;100
Comparison_of_operating_system_kernels    Supported cipher algorithms ;100
Comparison_of_operating_system_kernels    Supported compression algorithms ;100
Comparison_of_operating_system_kernels    Supported hash algorithms ;100
Comparison_of_operating_system_kernels    Supported Bluetooth protocols ;100
Comparison_of_operating_system_kernels    In kernel security ;85
Comparison_of_operating_system_kernels    In kernel virtualization ;100
Comparison_of_operating_system_kernels    In kernel server support ;100
Comparison_of_operating_system_kernels    Binary format support ;66
Comparison_of_operating_system_kernels    File system support ;100
Comparison_of_operating_system_kernels    Networked file system support ;100
Comparison_of_operating_system_kernels    Supported CPU instruction sets and microarchitectures ;100
Comparison_of_operating_system_kernels    Supported kernel execution environment ;100
Comparison_of_optical_character_recognition_software;93
Comparison_of_optimization_software;71
Comparison_of_orbital_launchers_families    List of launchers families ;31
Comparison_of_orbital_launch_systems;80
Comparison_of_orbital_rocket_engines;84
Comparison_of_packet_analyzers   General information;100
Comparison_of_packet_analyzers   Operating system support;100
Comparison_of_parser_generators    Regular languages ;100
Comparison_of_parser_generators    Deterministic context free languages ;100
Comparison_of_parser_generators   Parsing expression grammars  deterministic boolean grammars;100
Comparison_of_parser_generators    General context free  conjunctive or boolean languages ;100
Comparison_of_personal_air_vehicles   PAVs competing in PAV Challenge;85
Comparison_of_personal_air_vehicles   Other PAVs;85
Comparison_of_photo_gallery_software   Desktop applications;100
Comparison_of_photo_gallery_software   Server applications;100
Comparison_of_photo_stitching_software   General;100
Comparison_of_photo_stitching_software    HDR  tonemapping and exposure fusion ;71
Comparison_of_photo_stitching_software    Image corrections ;67
Comparison_of_photo_stitching_software    Export options ;71
Comparison_of_photo_stitching_software    Compatible equipment ;75
Comparison_of_platform_virtualization_software   General;100
Comparison_of_platform_virtualization_software    Features ;100
Comparison_of_platform_virtualization_software    Image type compatibility ;85
Comparison_of_platform_virtualization_software    Other features ;67
Comparison_of_platform_virtualization_software    Restrictions ;77
Comparison_of_popular_optical_data storage_systems   Speed;50
Comparison_of_popular_optical_data storage_systems   Speed;66
Comparison_of_popular_optical_data storage_systems   Speed;66
Comparison_of_portable_media_players    General ;92
Comparison_of_portable_media_players    Technical specifications ;100
Comparison_of_portable_media_players    Synching and transfer ;100
Comparison_of_portable_media_players    Wi Fi connectivity ;71
Comparison_of_portable_media_players    Audio formats ;76
Comparison_of_portable_media_players    Video formats ;66
Comparison_of_portable_media_players    Additional features ;87
Comparison_of_Portuguese_and_Spanish   Samples;100
Comparison_of_Portuguese_and_Spanish   Days of the week;100
Comparison_of_Portuguese_and_Spanish   Vowels;50
Comparison_of_Portuguese_and_Spanish   Vowels;100
Comparison_of_Portuguese_and_Spanish   Unstressed vowels;25
Comparison_of_Portuguese_and_Spanish   Consonants;100
Comparison_of_Portuguese_and_Spanish   Consonants;100
Comparison_of_Portuguese_and_Spanish   Sibilants;55
Comparison_of_Portuguese_and_Spanish   Other pronunciation differences;100
Comparison_of_Portuguese_and_Spanish   Se  si  s   and sim;100
Comparison_of_Portuguese_and_Spanish   Possessives;66
Comparison_of_Portuguese_and_Spanish   Object pronouns;100
Comparison_of_Portuguese_and_Spanish   Clitic personal pronouns;100
Comparison_of_Portuguese_and_Spanish    To like ;100
Comparison_of_Portuguese_and_Spanish   Contractions;80
Comparison_of_Portuguese_and_Spanish   Contractions;66
Comparison_of_Portuguese_and_Spanish   Different spellings for similar sounds;100
Comparison_of_Power_Management_Software_Suites;100
Comparison_of_privilege_authorization_features    Introduction to implementations ;50
Comparison_of_privilege_authorization_features    Introduction to implementations ;0
Comparison_of_privilege_authorization_features    Introduction to implementations ;50
Comparison_of_programming_languages_(array)    Array dimensions ;100
Comparison_of_programming_languages_(array)    Indexing ;100
Comparison_of_programming_languages_(array)   Slicing;100
Comparison_of_programming_languages_(array)   Array system cross reference list;87
Comparison_of_programming_languages_(array)    Mathematical matrices management ;62
Comparison_of_programming_languages_(basic_instructions)     ;100
Comparison_of_programming_languages_(basic_instructions)     ;100
Comparison_of_programming_languages_(basic_instructions)    Other control flow statements ;100
Comparison_of_programming_languages_(basic_instructions)     ;66
Comparison_of_programming_languages_(basic_instructions)     ;100
Comparison_of_programming_languages_(basic_instructions)     ;100
Comparison_of_programming_languages_(basic_instructions)    Reading  ;75
Comparison_of_programming_languages_(basic_instructions)    Execution of commands ;100
Comparison_of_programming_languages_(basic_instructions)     ;80
Comparison_of_programming_languages_(basic_instructions)    Other variable types ;80
Comparison_of_programming_languages_(basic_instructions)     ;100
Comparison_of_programming_languages_(basic_instructions)    Other types ;100
Comparison_of_programming_languages_(basic_instructions)    Variable and constant declarations ;100
Comparison_of_programming_languages_(basic_instructions)     statements ;100
Comparison_of_programming_languages_(basic_instructions)     ;83
Comparison_of_programming_languages_(basic_instructions)     ;100
Comparison_of_programming_languages_(object oriented_programming)    Object construction and destruction ;100
Comparison_of_programming_languages_(object oriented_programming)    Class declaration ;100
Comparison_of_programming_languages_(object oriented_programming)    Member access ;100
Comparison_of_programming_languages_(object oriented_programming)    Member availability ;77
Comparison_of_programming_languages_(object oriented_programming)    Special variables ;100
Comparison_of_programming_languages_(object oriented_programming)    Special methods ;100
Comparison_of_programming_languages_(object oriented_programming)    Type manipulation ;100
Comparison_of_programming_languages_(object oriented_programming)    Namespace management ;100
Comparison_of_programming_languages_(object oriented_programming)    Contracts ;100
Comparison_of_programming_languages_(object oriented_programming)    Constructors and destructors ;100
Comparison_of_programming_languages_(object oriented_programming)    Fields ;100
Comparison_of_programming_languages_(object oriented_programming)    Methods ;33
Comparison_of_programming_languages_(object oriented_programming)    Manually implemented ;25
Comparison_of_programming_languages_(object oriented_programming)    Automatically implemented ;25
Comparison_of_programming_languages_(object oriented_programming)    Standard operators ;100
Comparison_of_programming_languages_(object oriented_programming)    Indexers ;25
Comparison_of_programming_languages_(object oriented_programming)    Type casts ;100
Comparison_of_programming_languages_(strings)   Common variants;100
Comparison_of_programming_languages_(strings)    Quoted raw ;100
Comparison_of_programming_languages_(strings)    Quoted interpolated ;100
Comparison_of_programming_languages_(strings)    Escaped quotes ;100
Comparison_of_programming_languages_(strings)    Dual quoting ;100
Comparison_of_programming_languages_(strings)    Multiple quoting ;100
Comparison_of_programming_languages_(strings)    Here document ;100
Comparison_of_programming_languages_(strings)    Unique quoting variants ;100
Comparison_of_programming_languages_(string_functions)   CharAt;100
Comparison_of_programming_languages_(string_functions)   CharAt;100
Comparison_of_programming_languages_(string_functions)   Equality;14
Comparison_of_programming_languages_(string_functions)   Find;100
Comparison_of_programming_languages_(string_functions)   Find;100
Comparison_of_programming_languages_(string_functions)   Find character;100
Comparison_of_programming_languages_(string_functions)   Find character;100
Comparison_of_programming_languages_(string_functions)   Format;100
Comparison_of_programming_languages_(string_functions)   Format;100
Comparison_of_programming_languages_(string_functions)   Inequality;18
Comparison_of_programming_languages_(string_functions)   join;100
Comparison_of_programming_languages_(string_functions)   join;22
Comparison_of_programming_languages_(string_functions)   Compare (integer result);50
Comparison_of_programming_languages_(string_functions)   left;100
Comparison_of_programming_languages_(string_functions)   left;29
Comparison_of_programming_languages_(string_functions)   length;100
Comparison_of_programming_languages_(string_functions)   length;100
Comparison_of_programming_languages_(string_functions)   Lowercase;100
Comparison_of_programming_languages_(string_functions)   Lowercase;40
Comparison_of_programming_languages_(string_functions)   partition;100
Comparison_of_programming_languages_(string_functions)   partition;100
Comparison_of_programming_languages_(string_functions)   replace;100
Comparison_of_programming_languages_(string_functions)   replace;100
Comparison_of_programming_languages_(string_functions)   Compare (integer result);34
Comparison_of_programming_languages_(string_functions)   reverse;100
Comparison_of_programming_languages_(string_functions)   reverse;40
Comparison_of_programming_languages_(string_functions)   rfind;100
Comparison_of_programming_languages_(string_functions)   rfind;100
Comparison_of_programming_languages_(string_functions)   right;100
